"","Unit_name","Castle","Level","Attack","Defence","Minimum Damage","Maximum Damage","Health","Speed","Growth","AI_Value","Gold","Additional_item","Special_abilities"
"101","Lizardman","Fortress","2",5,6,2,3,14,4,9,126,110,"0","Ranged(12shots)"
"102","LizardWarrior","Fortress","2+",6,8,2,5,15,5,9,156,140,"0","Ranged(24shots)"
"103","SerpentFly","Fortress","3",7,9,2,5,20,9,8,268,220,"0","Flying,Dispel"
"104","DragonFly","Fortress","3+",8,10,2,5,20,13,8,312,240,"0","Flying,Dispel,Weakness"
"105","Basilisk","Fortress","4",11,11,6,10,35,5,4,552,325,"0","Petrify"
"106","GreaterBasilisk","Fortress","4+",12,12,6,10,40,7,4,714,400,"0","Petrify"
"107","Gorgon","Fortress","5",10,14,12,16,70,5,3,890,525,"0","-"
"108","MightyGorgon","Fortress","5+",11,16,12,16,70,6,3,1028,600,"0","Deathstare10%chance/unit"
"109","Wyvern","Fortress","6",14,14,14,18,70,7,2,1350,800,"0","Flying"
"110","WyvernMonarch","Fortress","6+",14,14,18,22,70,11,2,1518,1100,"0","Flying,Poison"
"111","Hydra","Fortress","7",16,18,25,45,175,5,1,4120,2200,"0","Noenemyretaliation,Attackalladjacentenemies"
"112","ChaosHydra","Fortress","7+",18,20,25,45,250,7,1,5931,3500,"Sulfur,1","Noenemyretaliation,Attackalladjacentenemies"
"113","Pixie","Conflux","1",2,2,1,2,3,7,20,55,25,"0","Flying"
"114","Sprite","Conflux","1+",2,2,1,3,3,9,20,95,30,"0","Flying,Noenemyretaliation"
"115","AirElemental","Conflux","2",9,9,2,8,25,7,6,356,250,"0","Elemental,Lightningvulnerability,ImmunetoMeteorShower"
"116","StormElemental","Conflux","2+",9,9,2,8,25,8,6,486,275,"0","Ranged(24shots),Elemental,Lightningvulnerability,ImmunetoMeteorShower,CastsProtectionfromAir"
"117","WaterElemental","Conflux","3",8,10,3,7,30,5,6,315,300,"0","Elemental,VulnerabletoFireball,InfernoandArmageddon,Iceimmunity"
"118","IceElemental","Conflux","3+*",8,10,3,7,30,6,6,380,375,"0","Ranged(24shots),Elemental,VulnerabletoFireball,InfernoandArmageddon,Iceimmunity,CastsProtectionfromWater"
"119","FireElemental","Conflux","4",10,8,4,6,35,6,5,345,350,"0","Elemental,Icevulnerability,Fireimmunity"
"120","EnergyElemental","Conflux","4+*",12,8,4,6,35,8,5,470,400,"0","Elemental,Flying,Icevulnerability,Fireimmunity,CastsProtectionfromFire"
"121","EarthElemental","Conflux","5",10,10,4,8,40,4,4,330,400,"0","Elemental,MeteorShowervulnerability,LightningandArmageddonimmunity"
"122","MagmaElemental","Conflux","5+*",11,11,6,10,40,6,4,490,500,"0","Elemental,MeteorShowervulnerability,LightningandArmageddonimmunity,CastsProtectionfromEarth"
"123","PsychicElemental","Conflux","6",15,13,10,20,75,7,2,1669,750,"0","Elemental,Noenemyretaliation,Attacksadjacenthexes"
"124","MagicElemental","Conflux","6+",15,13,15,25,80,9,2,2012,800,"0","Elemental,Noenemyretaliation,Attacksadjacenthexes,Spellimmunity"
"125","Firebird","Conflux","7",18,18,30,40,150,15,2,4547,1500,"0","Flying,Breathattack,Fireimmunity"
"126","Phoenix","Conflux","7+",21,18,30,40,200,21,2,6721,2000,"Mercury,1","Flying,Breathattack,Fireimmunity,Rebirth"
"127","Peasant","Neutral","1",1,1,1,1,1,3,25,15,10,"0","-"
"128","Halfling","Neutral","1",4,2,1,3,4,5,15,75,40,"0","Ranged(24shots),PositiveLuck"
"129","Boar","Neutral","2",6,5,2,3,15,6,8,145,150,"0","-"
"130","Rogue","Neutral","2",8,3,2,4,10,6,8,135,100,"0","Spying"
"131","Mummy","Neutral","3",7,7,3,5,30,5,7,270,300,"0","Undead,Curse"
"132","Nomad","Neutral","3",9,8,2,6,30,7,7,345,200,"0","Sandwalker"
"133","Sharpshooter","Neutral","4",12,10,8,10,15,9,4,585,400,"0","Ranged(32shots),Norangeandobstaclepenalty"
"134","Troll","Neutral","5",14,7,10,15,40,7,3,1024,500,"0","Regeneration"
"135","GoldGolem","Neutral","5",11,12,8,10,50,5,3,600,500,"0","Unliving,SpellDamageResistance+85%"
"136","DiamondGolem","Neutral","6",13,12,10,14,60,5,2,775,750,"0","Unliving,SpellDamageResistance+95%"
"137","Enchanter","Neutral","6",17,12,14,14,30,9,2,1210,750,"0","Ranged(32shots),Nomeleeandobstaclepenalty,Spellcaster"
"138","FaerieDragon","Neutral","7",20,20,20,30,500,15,1,19580,10000,"Gem,8","Dragon,Flying,Spellcaster,MagicMirror"
"139","RustDragon","Neutral","7",30,30,50,50,750,17,1,26433,15000,"Sulfur,14","Dragon,Flying,Breath,Acidbreath"
"140","CrystalDragon","Neutral","7",40,40,60,75,800,16,1,39338,20000,"Crystal,10","Dragon,Crystalgeneration,Resistance+20%,Unliving"
"141","AzureDragon","Neutral","7",50,50,70,80,1000,19,1,78845,30000,"Mercury,20","Dragon,Flying,Breath,Fear,Resistlvl1–3spells,ResistFear"
